#Uses stathead data

Rk,Season,Team,W,W-L%,PtDif,Tot,TotOpp,Cmp,G,W1,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Tot2,TO,Ply,Y/P,TotOpp2,TO,DPly,DY/P
271,2019,HOU,10,.625,-7,5792,6213,355,16,10,6,0,.625,378,385,-7,355,534,179,66.5,3783,27,14,5.1,2.6,95.3,49,300,8.40,7.1,6.49,6.92,6.33,10.7,5792,22,1017,5.70,6213,22,1020,6.09
272,2019,MIN,10,.625,104,5656,5465,319,16,10,6,0,.625,407,303,104,319,466,147,68.5,3523,26,8,5.6,1.7,103.9,28,206,5.67,7.6,7.13,7.90,7.46,11.0,5656,20,970,5.83,5465,31,1053,5.19
273,2018,IND,10,.625,89,6179,5435,432,16,10,6,0,.625,433,344,89,432,644,212,67.1,4461,39,15,6.1,2.3,98.2,18,134,2.72,6.9,6.74,7.09,6.90,10.3,6179,24,1070,5.77,5435,26,997,5.45
274,2018,DAL,10,.625,15,5501,5268,356,16,10,6,0,.625,339,324,15,356,527,171,67.6,3538,22,8,4.2,1.5,96.7,56,347,9.61,6.7,6.07,6.87,6.21,9.9,5501,17,1022,5.38,5268,20,981,5.37
275,2018,BAL,10,.625,102,5999,4687,334,16,10,6,0,.625,389,287,102,334,556,222,60.1,3558,18,9,3.2,1.6,84.0,32,150,5.44,6.4,6.05,6.32,5.97,10.7,5999,20,1135,5.29,4687,17,974,4.81
276,2018,SEA,10,.625,81,5653,5653,280,16,10,6,0,.625,428,347,81,280,427,147,65.6,3093,35,7,8.2,1.6,110.9,51,355,10.67,7.2,6.47,8.15,7.28,11.0,5653,11,1012,5.59,5653,26,955,5.92
277,2017,ATL,10,.625,38,5837,5094,343,16,10,6,0,.625,353,315,38,343,530,187,64.7,3990,21,12,4.0,2.3,92.4,24,156,4.33,7.5,7.20,7.30,6.99,11.6,5837,18,984,5.93,5094,16,994,5.12
278,2017,JAX,10,.625,149,5855,4578,316,16,10,6,0,.625,417,268,149,316,527,211,60.0,3593,21,13,4.0,2.5,84.4,24,123,4.36,6.8,6.52,6.50,6.22,11.4,5855,23,1078,5.43,4578,33,993,4.61
279,2017,KAN,10,.625,76,6007,5842,363,16,10,6,0,.625,415,339,76,363,543,180,66.9,4104,26,8,4.8,1.5,100.8,37,222,6.38,7.6,7.08,7.85,7.35,11.3,6007,11,985,6.10,5842,26,1044,5.60
280,2016,GNB,10,.625,44,5900,5823,403,16,10,6,0,.625,432,388,44,403,620,217,65.0,4199,40,8,6.5,1.3,102.3,35,246,5.34,6.8,6.41,7.48,7.08,10.4,5900,17,1029,5.73,5823,25,987,5.90
281,2016,MIA,10,.625,-17,5324,6122,316,16,10,6,0,.625,363,380,-17,316,477,161,66.2,3500,27,15,5.7,3.1,95.5,30,216,5.92,7.3,6.90,7.05,6.64,11.1,5324,23,913,5.83,6122,25,1088,5.63
282,2016,SEA,10,.656,62,5715,5099,368,16,10,5,1,.656,354,292,62,368,567,199,64.9,4124,23,12,4.1,2.1,93.4,42,298,6.90,7.3,6.77,7.13,6.64,11.2,5715,18,1012,5.65,5099,19,1020,5.00
283,2015,GNB,10,.625,45,5353,5547,348,16,10,6,0,.625,368,323,45,348,573,225,60.7,3503,31,8,5.4,1.4,92.7,47,322,7.58,6.1,5.65,6.57,6.07,10.1,5353,17,1056,5.07,5547,22,1014,5.47
284,2015,NYJ,10,.625,73,5925,5098,362,16,10,6,0,.625,387,314,73,362,604,242,59.9,4057,33,16,5.5,2.6,88.0,22,113,3.51,6.7,6.48,6.62,6.38,11.2,5925,24,1074,5.52,5098,30,1013,5.03
285,2015,PIT,10,.625,104,6327,5809,391,16,10,6,0,.625,423,319,104,391,590,199,66.3,4603,26,21,4.4,3.6,91.2,33,219,5.30,7.8,7.39,7.08,6.71,11.8,6327,28,1011,6.26,5809,30,1055,5.51
286,2015,SEA,10,.625,146,6058,4668,333,16,10,6,0,.625,423,277,146,333,489,156,68.1,3790,34,8,7.0,1.6,109.8,46,271,8.60,7.8,7.08,8.40,7.68,11.4,6058,16,1035,5.85,4668,23,947,4.93
287,2014,CIN,10,.656,21,5568,5749,323,16,10,5,1,.656,365,344,21,323,503,180,64.2,3421,20,17,4.0,3.4,84.2,23,130,4.37,6.8,6.50,6.08,5.81,10.6,5568,26,1018,5.47,5749,26,1067,5.39
288,2014,PHI,10,.625,74,6348,6009,384,16,10,6,0,.625,474,400,74,384,621,237,61.8,4356,27,21,4.3,3.4,84.8,32,225,4.90,7.0,6.67,6.36,6.05,11.3,6348,36,1127,5.63,6009,28,1113,5.40
289,2014,BAL,10,.625,107,5838,5391,344,16,10,6,0,.625,409,302,107,344,554,210,62.1,3819,27,12,4.9,2.2,91.0,19,167,3.32,6.9,6.66,6.89,6.66,11.1,5838,20,1021,5.72,5391,22,1034,5.21
290,2013,ARI,10,.625,55,5542,5079,363,16,10,6,0,.625,379,324,55,363,574,211,63.2,4002,24,22,4.2,3.8,83.9,41,289,6.67,7.0,6.51,6.08,5.68,11.0,5542,31,1037,5.34,5079,30,1042,4.87
291,2013,PHI,10,.625,60,6676,6304,310,16,10,6,0,.625,442,382,60,310,508,198,61.0,4110,32,9,6.3,1.8,102.7,46,296,8.30,8.1,7.42,8.55,7.84,13.3,6676,19,1054,6.33,6304,31,1150,5.48
292,2012,CHI,10,.625,98,4969,5050,287,16,10,6,0,.625,375,277,98,287,485,198,59.2,2999,21,16,4.3,3.3,80.4,44,299,8.32,6.2,5.67,5.56,5.10,10.4,4969,24,999,4.97,5050,44,1021,4.95
293,2012,CIN,10,.625,71,5323,5115,335,16,10,6,0,.625,391,320,71,335,540,205,62.0,3578,28,16,5.2,3.0,88.1,46,229,7.85,6.6,6.11,6.33,5.83,10.7,5323,26,1016,5.24,5115,30,1034,4.95
294,2012,MIN,10,.625,31,5385,5600,300,16,10,6,0,.625,379,348,31,300,483,183,62.1,2751,18,12,3.7,2.5,81.2,32,184,6.21,5.7,5.34,5.32,4.99,9.2,5385,23,1001,5.38,5600,22,1083,5.17
295,2012,BAL,10,.625,54,5640,5615,334,16,10,6,0,.625,398,344,54,334,560,226,59.6,3739,22,11,3.9,2.0,86.4,38,257,6.35,6.7,6.25,6.58,6.16,11.2,5640,16,1042,5.41,5615,25,1086,5.17
296,2012,WAS,10,.625,48,6131,6043,291,16,10,6,0,.625,436,388,48,291,442,151,65.8,3422,24,8,5.4,1.8,102.1,33,244,6.95,7.7,7.20,8.01,7.46,11.8,6131,14,994,6.17,6043,31,1031,5.86
297,2011,ATL,10,.625,52,6026,5338,365,16,10,6,0,.625,402,350,52,365,594,229,61.4,4192,29,13,4.9,2.2,91.1,26,173,4.19,7.1,6.76,7.05,6.75,11.5,6026,21,1073,5.62,5338,29,965,5.53
298,2011,DET,10,.625,87,6337,5881,423,16,10,6,0,.625,474,387,87,423,666,243,63.5,4814,41,16,6.2,2.4,97.2,36,257,5.13,7.2,6.86,7.38,7.00,11.4,6337,23,1058,5.99,5881,34,1055,5.57
299,2011,HOU,10,.625,103,5954,4571,288,16,10,6,0,.625,381,278,103,288,467,179,61.7,3506,20,9,4.3,1.9,92.7,33,190,6.60,7.5,7.01,7.50,7.00,12.2,5954,20,1046,5.69,4571,27,960,4.76
300,2010,IND,10,.625,47,6092,5465,450,16,10,6,0,.625,435,388,47,450,679,229,66.3,4609,33,17,4.9,2.5,91.9,16,91,2.30,6.8,6.63,6.63,6.48,10.2,6092,25,1088,5.60,5465,21,1010,5.41
301,2010,GNB,10,.625,148,5730,4945,352,16,10,6,0,.625,388,240,148,352,541,189,65.1,4124,31,13,5.7,2.4,98.9,38,231,6.56,7.6,7.12,7.69,7.18,11.7,5730,22,1000,5.73,4945,32,969,5.10
302,2010,KAN,10,.625,40,5595,5283,274,16,10,6,0,.625,366,326,40,274,475,201,57.7,2968,27,8,5.7,1.7,90.1,32,221,6.31,6.2,5.85,6.63,6.21,10.8,5595,14,1063,5.26,5283,23,1028,5.14
303,2010,NYG,10,.625,47,6085,4990,339,16,10,6,0,.625,394,347,47,339,539,200,62.9,3885,31,25,5.8,4.6,85.3,16,117,2.88,7.2,7.00,6.27,6.09,11.5,6085,42,1035,5.88,4990,39,974,5.12
304,2010,PHI,10,.625,62,6230,5235,348,16,10,6,0,.625,439,377,62,348,561,213,62.0,3906,28,13,5.0,2.3,92.1,49,309,8.03,7.0,6.40,6.92,6.36,11.2,6230,25,1038,6.00,5235,34,998,5.25
305,2010,TAM,10,.625,23,5362,5323,306,16,10,6,0,.625,341,318,23,306,494,188,61.9,3361,26,6,5.3,1.2,96.2,30,203,5.73,6.8,6.41,7.31,6.89,11.0,5362,19,955,5.61,5323,28,991,5.37
306,2009,CIN,10,.625,14,4946,4822,286,16,10,6,0,.625,305,291,14,286,477,191,60.0,2890,21,13,4.4,2.7,82.7,29,244,5.73,6.1,5.71,5.71,5.39,10.1,4946,25,1011,4.89,4822,25,980,4.92
307,2009,ARI,10,.625,50,5510,5543,392,16,10,6,0,.625,375,325,50,392,594,202,66.0,4016,27,18,4.5,3.0,89.1,26,184,4.19,6.8,6.48,6.31,6.04,10.2,5510,36,985,5.59,5543,29,1038,5.34
308,2009,NWE,10,.625,142,6357,5123,390,16,10,6,0,.625,427,285,142,390,592,202,65.9,4436,28,13,4.7,2.2,95.6,18,104,2.95,7.5,7.27,7.45,7.23,11.4,6357,22,1076,5.91,5123,28,941,5.44
309,2008,MIN,10,.625,46,5288,4679,267,16,10,6,0,.625,379,333,46,267,452,185,59.1,2956,22,17,4.9,3.8,81.5,43,261,8.69,6.5,5.97,5.82,5.32,11.1,5288,31,1014,5.21,4679,25,946,4.95
310,2007,CLE,10,.625,20,5621,5753,305,16,10,6,0,.625,402,382,20,305,545,240,56.0,3726,29,20,5.3,3.7,80.7,19,140,3.37,6.8,6.61,6.25,6.04,12.2,5621,29,1004,5.60,5753,27,1066,5.40
311,2007,NYG,10,.625,22,5302,4880,302,16,10,6,0,.625,373,351,22,302,544,242,55.5,3154,23,20,4.2,3.7,73.0,28,222,4.90,5.8,5.51,4.99,4.74,10.4,5302,34,1041,5.09,4880,25,984,4.96
312,2007,TEN,10,.625,4,4987,4665,288,16,10,6,0,.625,301,297,4,288,464,176,62.1,2878,9,17,1.9,3.7,72.6,30,199,6.07,6.2,5.83,4.94,4.64,10.0,4987,34,1037,4.81,4665,34,978,4.77
313,2007,PIT,10,.625,124,5239,4262,282,16,10,6,0,.625,393,269,124,282,442,160,63.8,3071,34,14,7.7,3.2,99.9,47,347,9.61,6.9,6.28,7.06,6.38,10.9,5239,22,1000,5.24,4262,25,933,4.57
314,2007,SEA,10,.625,102,5583,5149,371,16,10,6,0,.625,393,291,102,371,590,219,62.9,3964,30,13,5.1,2.2,91.8,36,217,5.75,6.7,6.33,6.74,6.36,10.7,5583,24,1056,5.29,5149,34,1035,4.97
315,2006,NOR,10,.625,91,6264,4917,372,16,10,6,0,.625,413,322,91,372,580,208,64.1,4503,27,13,4.7,2.2,94.9,23,123,3.81,7.8,7.47,7.69,7.39,12.1,6264,23,1075,5.83,4917,19,930,5.29
316,2006,NYJ,10,.625,21,4891,5306,313,16,10,6,0,.625,316,295,21,313,488,175,64.1,3153,17,16,3.5,3.3,82.1,34,199,6.51,6.5,6.04,5.68,5.31,10.1,4891,25,1013,4.83,5306,25,1020,5.20
317,2006,PHI,10,.625,70,6103,5249,323,16,10,6,0,.625,398,328,70,323,544,221,59.4,4119,31,9,5.7,1.7,96.7,28,190,4.90,7.6,7.20,7.97,7.58,12.8,6103,24,988,6.18,5249,29,1054,4.98
318,2005,KAN,10,.625,78,6192,5249,317,16,10,6,0,.625,403,325,78,317,507,190,62.5,3810,17,10,3.4,2.0,90.1,32,204,5.94,7.5,7.07,7.30,6.86,12.0,6192,23,1059,5.85,5249,31,971,5.41
319,2005,NWE,10,.625,41,5632,5283,352,16,10,6,0,.625,379,338,41,352,564,212,62.4,4120,28,15,5.0,2.7,91.5,28,202,4.73,7.3,6.96,7.10,6.77,11.7,5632,24,1031,5.46,5283,18,997,5.30
320,2005,WAS,10,.625,66,5289,4767,278,16,10,6,0,.625,359,293,66,278,481,203,57.8,3106,25,11,5.2,2.3,87.0,31,240,6.05,6.5,6.07,6.47,6.08,11.2,5289,27,1037,5.10,4767,28,981,4.86
321,2004,DEN,10,.625,77,6332,4459,303,16,10,6,0,.625,381,304,77,303,521,218,58.2,3999,27,20,5.2,3.8,84.5,15,90,2.80,7.7,7.46,6.98,6.79,13.2,6332,29,1070,5.92,4459,20,918,4.86
322,2004,GNB,10,.625,44,6357,5541,382,16,10,6,0,.625,424,380,44,382,598,216,63.9,4449,36,19,6.0,3.2,93.8,14,101,2.29,7.4,7.27,7.21,7.05,11.6,6357,29,1053,6.04,5541,15,967,5.73
323,2004,NYJ,10,.625,72,5438,4878,282,16,10,6,0,.625,333,261,72,282,438,156,64.4,3050,19,11,4.3,2.5,90.5,31,181,6.61,7.0,6.50,6.70,6.26,10.8,5438,16,996,5.46,4878,33,966,5.05
324,2003,DAL,10,.625,29,5161,4056,294,16,10,6,0,.625,289,260,29,294,510,216,57.6,3162,17,21,3.3,4.1,71.4,37,185,6.76,6.2,5.78,5.01,4.67,10.8,5161,29,1062,4.86,4056,25,937,4.33
325,2003,DEN,10,.625,80,5598,4433,280,16,10,6,0,.625,381,301,80,280,479,199,58.5,2969,19,18,4.0,3.8,75.6,25,157,4.96,6.2,5.89,5.30,5.04,10.6,5598,24,1047,5.35,4433,20,910,4.87
326,2003,GNB,10,.625,135,5798,5101,310,16,10,6,0,.625,442,307,135,310,473,163,65.5,3240,32,21,6.8,4.4,90.5,19,137,3.86,6.8,6.59,6.21,5.97,10.5,5798,32,999,5.80,5101,32,1036,4.92
327,2003,MIA,10,.625,50,4609,4787,257,16,10,6,0,.625,311,261,50,257,450,193,57.1,2792,17,19,3.8,4.2,72.5,31,209,6.44,6.2,5.80,5.06,4.73,10.9,4609,34,968,4.76,4787,36,1014,4.72
328,2003,BAL,10,.625,110,4929,4341,217,16,10,6,0,.625,391,281,110,217,415,198,52.3,2255,16,19,3.9,4.6,64.7,42,262,9.19,5.4,4.93,4.14,3.76,10.4,4929,38,1009,4.89,4341,41,1026,4.23
329,2003,SEA,10,.625,77,5627,5239,317,16,10,6,0,.625,404,327,77,317,521,204,60.8,3618,27,16,5.2,3.1,88.2,43,254,7.62,6.9,6.41,6.60,6.10,11.4,5627,29,1017,5.53,5239,28,1069,4.90
330,2002,IND,10,.625,36,5616,4909,392,16,10,6,0,.625,349,313,36,392,591,199,66.3,4055,27,19,4.6,3.2,88.8,23,145,3.75,6.9,6.60,6.33,6.09,10.3,5616,32,1048,5.36,4909,27,963,5.10
331,2002,NYG,10,.625,41,5826,4949,338,16,10,6,0,.625,320,279,41,338,549,211,61.6,3951,19,14,3.5,2.6,85.4,24,152,4.19,7.2,6.90,6.74,6.46,11.7,5826,27,1059,5.50,4949,25,985,5.02
332,2002,PIT,10,.656,45,5952,4835,350,16,10,5,1,.656,390,345,45,350,551,201,63.5,3832,26,22,4.7,4.0,84.6,34,204,5.81,7.0,6.55,6.10,5.75,10.9,5952,36,1097,5.43,4835,36,982,4.92
333,2002,SFO,10,.625,16,5701,5158,354,16,10,6,0,.625,367,351,16,354,571,217,62.0,3457,23,10,4.0,1.8,86.0,22,119,3.71,6.1,5.83,6.07,5.85,9.8,5701,17,1082,5.27,5158,27,978,5.27
334,2001,NYJ,10,.625,13,4795,5153,272,16,10,6,0,.625,308,295,13,272,464,192,58.6,2741,17,14,3.7,3.0,76.4,19,130,3.93,5.9,5.67,5.28,5.07,10.1,4795,21,928,5.17,5153,39,1030,5.00
335,2001,OAK,10,.625,72,5361,5071,364,16,10,6,0,.625,399,327,72,364,553,189,65.8,3707,27,9,4.9,1.6,95.5,27,155,4.66,6.7,6.39,6.95,6.62,10.2,5361,25,1030,5.20,5071,24,1002,5.06
336,2001,BAL,10,.625,38,5124,4446,320,16,10,6,0,.625,303,265,38,320,557,237,57.5,3314,18,20,3.2,3.6,72.7,40,281,6.70,5.9,5.55,4.98,4.65,10.4,5124,36,1080,4.74,4446,28,1010,4.40
337,2000,IND,10,.625,103,6141,5357,357,16,10,6,0,.625,429,326,103,357,571,214,62.5,4282,33,15,5.8,2.6,94.7,20,131,3.38,7.5,7.25,7.47,7.22,12.0,6141,29,1026,5.99,5357,22,1018,5.26
338,2000,NOR,10,.625,49,5397,4743,298,16,10,6,0,.625,354,305,49,298,497,199,60.0,3329,22,15,4.4,3.0,84.2,39,244,7.28,6.7,6.21,6.23,5.77,11.2,5397,26,1041,5.18,4743,35,949,5.00
339,2000,STL,10,.625,69,7075,5494,380,16,10,6,0,.625,540,471,69,380,587,207,64.7,5232,37,23,6.3,3.9,99.7,44,260,6.97,8.9,8.29,8.41,7.82,13.8,7075,35,1014,6.98,5494,25,968,5.68
340,2000,TAM,10,.625,119,4649,4800,237,16,10,6,0,.625,388,269,119,237,433,196,54.7,2583,18,13,4.2,3.0,76.2,38,241,8.07,6.0,5.48,5.45,5.01,10.9,4649,24,961,4.84,4800,41,1047,4.58
341,1999,MIN,10,.625,64,5793,5597,316,16,10,6,0,.625,399,335,64,316,530,214,59.6,3989,32,21,6.0,4.0,89.3,43,329,7.50,7.5,6.96,6.95,6.43,12.6,5793,40,995,5.82,5597,30,1065,5.26
342,1999,WAS,10,.625,66,5965,5705,324,16,10,6,0,.625,443,377,66,324,537,213,60.3,3926,26,14,4.8,2.6,89.5,31,186,5.46,7.3,6.91,7.11,6.72,12.1,5965,25,1031,5.79,5705,37,1068,5.34
343,1998,BUF,10,.625,67,5541,4691,269,16,10,6,0,.625,400,333,67,269,461,192,58.4,3380,28,14,6.1,3.0,91.0,41,241,8.17,7.3,6.73,7.18,6.59,12.6,5541,20,1033,5.36,4691,31,950,4.94
344,1998,DAL,10,.625,106,5450,5164,279,16,10,6,0,.625,381,275,106,279,474,195,58.9,3436,17,8,3.6,1.7,87.2,19,110,3.85,7.2,6.97,7.21,6.93,12.3,5450,15,992,5.49,5164,26,988,5.23
345,1998,MIA,10,.625,56,4930,4435,316,16,10,6,0,.625,321,265,56,316,546,230,57.9,3395,23,16,4.2,2.9,79.5,24,187,4.21,6.2,5.96,5.74,5.50,10.7,4930,28,1028,4.80,4435,36,944,4.70
346,1997,NWE,10,.625,80,5014,5085,321,16,10,6,0,.625,369,289,80,321,532,211,60.3,3550,31,15,5.8,2.8,89.9,30,258,5.34,6.7,6.32,6.57,6.22,11.1,5014,22,960,5.22,5085,32,1100,4.62
347,1997,NYG,10,.656,42,4513,5067,249,16,10,5,1,.656,307,265,42,249,474,225,52.5,2525,16,12,3.4,2.5,70.9,32,238,6.32,5.3,4.99,4.86,4.56,10.1,4513,19,1027,4.39,5067,44,1082,4.68
348,1997,TAM,10,.625,36,4376,4628,224,16,10,6,0,.625,299,263,36,224,404,180,55.4,2442,21,12,5.2,3.0,80.4,32,196,7.34,6.0,5.60,5.75,5.33,10.9,4376,23,915,4.78,4628,26,982,4.71
349,1996,BUF,10,.625,53,5119,4737,279,16,10,6,0,.625,319,266,53,279,483,204,57.8,3218,18,24,3.7,5.0,72.6,48,340,9.04,6.7,6.06,5.17,4.70,11.5,5119,37,1094,4.68,4737,28,1105,4.29
350,1996,DAL,10,.625,36,4763,4382,307,16,10,6,0,.625,286,250,36,307,487,180,63.0,3122,12,14,2.5,2.9,78.6,19,127,3.75,6.4,6.17,5.61,5.40,10.2,4763,29,981,4.86,4382,33,958,4.57
351,1996,PHI,10,.625,22,5627,4562,328,16,10,6,0,.625,363,341,22,328,548,220,59.9,3745,19,18,3.5,3.3,80.1,39,234,6.64,6.8,6.38,6.05,5.65,11.4,5627,32,1076,5.23,4562,31,961,4.75
352,1996,PIT,10,.625,87,5140,4362,246,16,10,6,0,.625,344,257,87,246,456,210,53.9,2841,15,19,3.3,4.2,68.0,21,149,4.40,6.2,5.96,5.01,4.79,11.5,5140,33,1002,5.13,4362,40,1009,4.32
353,1995,BUF,10,.625,15,5117,5128,279,16,10,6,0,.625,350,335,15,279,506,227,55.1,3124,24,14,4.7,2.8,79.9,32,224,5.95,6.2,5.81,5.88,5.53,11.2,5117,26,1059,4.83,5128,28,1084,4.73
354,1995,DET,10,.625,100,6113,5599,362,16,10,6,0,.625,436,336,100,362,605,243,59.8,4360,33,12,5.5,2.0,92.9,32,150,5.02,7.2,6.84,7.40,7.03,12.0,6113,25,1024,5.97,5599,35,1031,5.43
355,1995,PHI,10,.625,-20,4807,4638,284,16,10,6,0,.625,318,338,-20,284,496,212,57.3,2686,11,19,2.2,3.8,65.9,46,245,8.49,5.4,4.96,4.14,3.78,9.5,4807,36,1050,4.58,4638,38,1013,4.58
356,1994,MIA,10,.625,62,6078,5224,392,16,10,6,0,.625,389,327,62,392,627,235,62.5,4420,31,18,4.9,2.9,88.8,18,113,2.79,7.0,6.85,6.75,6.56,11.3,6078,32,1078,5.64,5224,32,1000,5.22
357,1994,MIN,10,.625,42,5848,4742,409,16,10,6,0,.625,356,314,42,409,673,264,60.8,4324,18,20,2.7,3.0,77.6,31,246,4.40,6.4,6.14,5.62,5.38,10.6,5848,34,1123,5.21,4742,34,988,4.80
358,1994,NWE,10,.625,39,5776,5207,405,16,10,6,0,.625,351,312,39,405,699,294,57.9,4444,25,27,3.6,3.9,73.5,22,139,3.05,6.4,6.16,5.33,5.17,11.0,5776,38,1199,4.82,5207,40,1006,5.18
359,1993,DET,10,.625,6,4658,4669,264,16,10,6,0,.625,298,292,6,264,435,171,60.7,2714,15,19,3.4,4.4,74.1,46,229,9.56,6.2,5.64,4.96,4.49,10.3,4658,32,937,4.97,4669,35,990,4.72
360,1993,RAI,10,.625,-20,5014,4723,281,16,10,6,0,.625,306,326,-20,281,495,214,56.8,3589,17,14,3.4,2.8,81.7,50,293,9.17,7.3,6.59,6.66,6.05,12.8,5014,25,978,5.13,4723,23,996,4.74
361,1993,SFO,10,.625,178,6435,4997,354,16,10,6,0,.625,473,295,178,354,524,170,67.6,4302,29,17,5.5,3.2,98.9,35,178,6.26,8.2,7.70,7.86,7.36,12.2,6435,30,1022,6.30,4997,30,1012,4.94
362,1992,KAN,10,.625,66,4324,4324,230,16,10,6,0,.625,348,282,66,230,413,183,55.7,2792,15,12,3.6,2.9,79.9,48,323,10.41,6.8,6.06,6.18,5.54,12.1,4324,21,907,4.77,4324,39,949,4.56
363,1992,HOU,10,.625,94,5655,4211,373,16,10,6,0,.625,352,258,94,373,573,200,65.1,4029,27,23,4.7,4.0,86.1,32,202,5.29,7.0,6.66,6.17,5.84,10.8,5655,35,958,5.90,4211,31,907,4.64
364,1991,ATL,10,.625,23,5113,5248,260,16,10,6,0,.625,361,338,23,260,499,239,52.1,3449,30,22,6.0,4.4,77.5,31,185,5.85,6.9,6.51,6.13,5.77,13.3,5113,36,940,5.44,5248,35,976,5.38
365,1991,KAN,10,.625,70,5321,4998,284,16,10,6,0,.625,322,252,70,284,479,195,59.3,3104,19,14,4.0,2.9,81.1,21,177,4.20,6.5,6.21,5.96,5.71,10.9,5321,22,1021,5.21,4998,33,927,5.39
366,1991,PHI,10,.625,41,4302,3549,285,16,10,6,0,.625,285,244,41,285,513,228,55.6,2906,17,27,3.3,5.3,63.2,45,263,8.06,5.7,5.21,3.96,3.64,10.2,4302,43,1004,4.28,3549,48,905,3.92
367,1991,SFO,10,.625,154,5858,4554,325,16,10,6,0,.625,393,239,154,325,522,197,62.3,3997,29,12,5.6,2.3,96.2,24,170,4.40,7.7,7.32,7.73,7.39,12.3,5858,31,986,5.94,4554,28,929,4.90
368,1990,PHI,10,.625,97,5700,4660,281,16,10,6,0,.625,396,299,97,281,479,198,58.7,3144,34,13,7.1,2.7,94.5,50,438,9.45,6.6,5.94,6.76,6.12,11.2,5700,28,1069,5.33,4660,30,948,4.92
369,1990,WAS,10,.625,80,5562,4730,301,16,10,6,0,.625,381,301,80,301,536,235,56.2,3479,22,22,4.1,4.1,73.5,22,132,3.94,6.5,6.23,5.46,5.25,11.6,5562,28,1073,5.18,4730,33,941,5.03
370,2024,CIN,9,.529,38,6214,5921,460,17,9,8,0,.529,472,434,38,460,652,192,70.6,4640,43,9,6.6,1.4,108.5,48,278,6.86,7.1,6.63,7.81,7.28,10.1,6214,22,1080,5.75,5921,25,1088,5.44
371,2023,CIN,9,.529,-18,5422,6368,420,17,9,8,0,.529,366,384,-18,420,615,195,68.3,3895,27,14,4.4,2.3,93.0,50,362,7.52,6.3,5.86,6.19,5.72,9.3,5422,16,1048,5.17,6368,26,1055,6.04
372,2023,IND,9,.529,-19,5725,5947,355,17,9,8,0,.529,396,415,-19,355,574,219,61.8,3666,18,10,3.1,1.7,85.0,41,216,6.67,6.4,5.96,6.23,5.81,10.3,5725,22,1094,5.23,5947,24,1137,5.23
373,2023,GNB,9,.529,33,5873,5696,374,17,9,8,0,.529,383,350,33,374,581,207,64.4,3968,32,11,5.5,1.9,96.4,30,242,4.91,6.8,6.49,7.08,6.73,10.6,5873,18,1052,5.58,5696,18,1061,5.37
374,2023,JAX,9,.529,6,5772,5828,412,17,9,8,0,.529,377,371,6,412,620,208,66.5,4126,22,14,3.5,2.3,89.3,41,251,6.20,6.7,6.24,6.35,5.95,10.0,5772,30,1114,5.18,5828,27,1078,5.41
375,2023,NOR,9,.529,75,5732,5562,406,17,9,8,0,.529,402,327,75,406,606,200,67.0,3990,28,11,4.6,1.8,94.8,35,235,5.46,6.6,6.22,6.69,6.33,9.8,5732,18,1121,5.11,5562,29,1054,5.28
376,2023,SEA,9,.529,-38,5490,6313,371,17,9,8,0,.529,364,402,-38,371,575,204,64.5,3910,23,12,4.0,2.1,90.7,38,257,6.20,6.8,6.38,6.66,6.25,10.5,5490,17,995,5.52,6313,19,1147,5.50
377,2023,TAM,9,.529,23,5321,5852,364,17,9,8,0,.529,348,325,23,364,568,204,64.1,3812,28,10,4.9,1.8,94.2,40,232,6.58,6.7,6.27,6.90,6.45,10.5,5321,18,1047,5.08,5852,26,1081,5.41
378,2022,DET,9,.529,26,6460,6670,383,17,9,8,0,.529,453,427,26,383,588,205,65.1,4281,29,7,4.9,1.2,99.3,24,163,3.92,7.3,7.00,7.73,7.43,11.2,6460,15,1092,5.92,6670,22,1076,6.20
379,2022,JAX,9,.529,54,6075,6006,394,17,9,8,0,.529,404,350,54,394,596,202,66.1,3959,25,9,4.2,1.5,93.9,28,189,4.49,6.6,6.34,6.80,6.50,10.0,6075,22,1072,5.67,6006,27,1106,5.43
380,2022,MIA,9,.529,-2,6197,5743,368,17,9,8,0,.529,397,399,-2,368,584,216,63.0,4511,30,15,5.1,2.6,95.0,35,254,5.65,7.7,7.29,7.60,7.17,12.3,6197,21,1009,6.14,5743,14,1086,5.29
381,2022,NYG,9,.559,-6,5676,6089,346,17,9,7,1,.559,365,371,-6,346,520,174,66.5,3157,17,6,3.3,1.2,91.1,49,274,8.61,6.1,5.55,6.21,5.67,9.1,5676,16,1089,5.21,6089,19,1078,5.65
382,2022,PIT,9,.529,-38,5484,5617,364,17,9,8,0,.529,308,346,-38,364,571,207,63.7,3411,12,14,2.1,2.5,78.7,38,250,6.24,6.0,5.60,5.29,4.96,9.4,5484,19,1109,4.94,5617,23,1024,5.49
383,2022,SEA,9,.529,6,5976,6149,399,17,9,8,0,.529,407,401,6,399,573,174,69.6,3934,30,12,5.2,2.1,100.0,46,348,7.43,6.9,6.36,6.97,6.45,9.9,5976,23,1044,5.72,6149,25,1117,5.50
