#Uses stathead data

Rk,Season,Team,W,W-L%,PtDif,Tot,TotOpp,Cmp,G,W1,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Tot2,TO,Ply,Y/P,TotOpp2,TO,DPly,DY/P
25,1992,SFO,14,.875,195,6195,4787,319,16,14,2,0,.875,431,236,195,319,480,161,66.5,3880,29,9,6.0,1.9,105.0,32,174,6.25,8.1,7.58,8.45,7.92,12.2,6195,22,994,6.23,4787,29,943,5.08
26,1991,WAS,14,.875,261,5741,4293,261,16,14,2,0,.875,485,224,261,261,447,186,58.4,3692,30,11,6.7,2.5,98.0,9,79,1.97,8.3,8.10,8.49,8.33,14.1,5741,23,996,5.76,4293,41,946,4.54
27,1990,SFO,14,.875,114,5895,4273,360,16,14,2,0,.875,353,239,114,360,583,223,61.7,4177,28,16,4.8,2.7,89.4,37,194,5.97,7.2,6.74,6.89,6.48,11.6,5895,30,1074,5.49,4273,31,919,4.65
28,2024,BUF,13,.765,157,6105,5806,329,17,13,4,0,.765,525,368,157,329,520,191,63.3,3875,30,6,5.8,1.2,100.8,14,63,2.62,7.5,7.26,8.09,7.87,11.8,6105,8,1025,5.96,5806,32,1052,5.52
29,2023,BAL,13,.765,203,6296,5123,328,17,13,4,0,.765,483,280,203,328,494,166,66.4,3635,27,7,5.5,1.4,102.5,41,246,7.66,7.4,6.79,7.81,7.21,11.1,6296,19,1076,5.85,5123,31,1109,4.62
30,2022,BUF,13,.813,169,6361,5106,361,16,13,3,0,.813,455,286,169,361,574,213,62.9,4129,35,14,6.1,2.4,95.8,33,162,5.44,7.2,6.80,7.32,6.92,11.4,6361,27,1037,6.13,5106,27,997,5.12
31,2022,MIN,13,.765,-3,6145,6608,448,17,13,4,0,.765,424,427,-3,448,672,224,66.7,4484,30,15,4.5,2.2,93.1,47,334,6.54,6.7,6.24,6.56,6.13,10.0,6145,23,1123,5.47,6608,25,1118,5.91
32,2022,SFO,13,.765,173,6216,5110,338,17,13,4,0,.765,450,277,173,338,512,174,66.0,3856,30,9,5.9,1.8,102.3,31,193,5.71,7.5,7.10,7.91,7.46,11.4,6216,17,1047,5.94,5110,30,1026,4.98
33,2021,GNB,13,.765,79,6215,5579,402,17,13,4,0,.765,450,371,79,402,593,191,67.8,4315,39,7,6.6,1.2,107.4,33,211,5.27,7.3,6.89,8.06,7.64,10.7,6215,13,1072,5.80,5579,26,1037,5.38
34,2021,TAM,13,.765,158,6901,5635,492,17,13,4,0,.765,511,353,158,492,731,239,67.3,5229,43,12,5.9,1.6,101.6,23,154,3.05,7.2,6.94,7.59,7.36,10.6,6901,19,1139,6.06,5635,29,1093,5.16
35,2020,BUF,13,.813,126,6343,5640,410,16,13,3,0,.813,501,375,126,410,596,186,68.8,4620,40,11,6.7,1.8,107.6,27,166,4.33,7.8,7.42,8.26,7.91,11.3,6343,22,1034,6.13,5640,26,1025,5.50
36,2020,GNB,13,.813,140,6224,5344,372,16,13,3,0,.813,509,369,140,372,526,154,70.7,4106,48,5,9.1,1.0,121.5,21,193,3.84,7.8,7.51,9.20,8.85,11.0,6224,11,990,6.29,5344,18,974,5.49
37,2019,GNB,13,.813,63,5528,5642,356,16,13,3,0,.813,376,313,63,356,573,217,62.1,3733,26,4,4.5,0.7,95.3,36,284,5.91,6.5,6.13,7.11,6.69,10.5,5528,13,1020,5.42,5642,25,998,5.65
38,2019,NOR,13,.813,117,5982,5329,418,16,13,3,0,.813,458,341,117,418,581,163,71.9,4244,36,6,6.2,1.0,110.2,25,187,4.13,7.3,7.00,8.08,7.75,10.2,5982,8,1011,5.92,5329,23,999,5.33
39,2019,SFO,13,.813,169,6097,4509,331,16,13,3,0,.813,479,310,169,331,478,147,69.2,3792,28,13,5.9,2.7,103.1,36,237,7.00,7.9,7.38,7.88,7.33,11.5,6097,23,1012,6.02,4509,27,968,4.66
40,2018,NOR,13,.813,151,6067,5585,381,16,13,3,0,.813,504,353,151,381,519,138,73.4,4042,33,7,6.4,1.3,112.3,20,132,3.71,7.8,7.50,8.45,8.14,10.6,6067,16,1010,6.01,5585,24,978,5.71
41,2018,LAR,13,.813,143,6738,5737,368,16,13,3,0,.813,527,384,143,368,568,200,64.8,4507,32,12,5.6,2.1,100.7,33,223,5.49,7.9,7.50,8.11,7.67,12.2,6738,19,1060,6.36,5737,30,960,5.98
42,2017,MIN,13,.813,130,5710,4415,357,16,13,3,0,.813,382,252,130,357,527,170,67.7,3753,25,8,4.7,1.5,99.1,27,176,4.87,7.1,6.77,7.39,7.03,10.5,5710,14,1055,5.41,4415,19,956,4.62
43,2017,NWE,13,.813,162,6307,5856,389,16,13,3,0,.813,458,296,162,389,587,198,66.3,4418,32,8,5.5,1.4,102.6,35,201,5.63,7.5,7.10,8.00,7.55,11.4,6307,12,1070,5.89,5856,18,1022,5.73
44,2017,PHI,13,.813,162,5852,4904,341,16,13,3,0,.813,457,295,162,341,564,223,60.5,3737,38,9,6.7,1.6,97.6,36,230,6.00,6.6,6.23,7.26,6.82,11.0,5852,20,1073,5.45,4904,31,976,5.02
45,2017,PIT,13,.813,98,6047,4910,384,16,13,3,0,.813,406,308,98,384,590,206,65.1,4380,29,15,4.9,2.5,94.1,24,154,3.91,7.4,7.13,7.26,6.98,11.4,6047,20,1051,5.75,4910,22,940,5.22
46,2016,DAL,13,.813,115,6027,5503,325,16,13,3,0,.813,421,306,115,325,483,158,67.3,3631,25,6,5.2,1.2,103.0,28,168,5.48,7.5,7.11,7.99,7.56,11.2,6027,15,1010,5.97,5503,20,1009,5.45
47,2015,ARI,13,.813,176,6533,5147,353,16,13,3,0,.813,489,313,176,353,562,209,62.8,4616,35,13,6.2,2.3,100.9,27,159,4.58,8.2,7.84,8.42,8.03,13.1,6533,24,1041,6.28,5147,33,982,5.24
48,2013,DEN,13,.813,207,7317,5696,461,16,13,3,0,.813,606,399,207,461,675,214,68.3,5444,55,10,8.1,1.5,114.4,20,128,2.88,8.1,7.83,9.03,8.77,11.8,7317,26,1156,6.33,5696,26,1074,5.30
49,2013,SEA,13,.813,186,5424,4378,267,16,13,3,0,.813,417,231,186,267,420,153,63.6,3236,27,9,6.4,2.1,102.4,44,272,9.48,7.7,6.97,8.03,7.27,12.1,5424,19,973,5.57,4378,39,990,4.42
50,2012,ATL,13,.813,120,5906,5849,422,16,13,3,0,.813,419,299,120,422,615,193,68.6,4509,32,14,5.2,2.3,99.1,28,210,4.35,7.3,7.01,7.35,7.03,10.7,5906,18,1021,5.78,5849,31,991,5.90
51,2012,DEN,13,.813,192,6366,4652,402,16,13,3,0,.813,481,289,192,402,588,186,68.4,4534,37,11,6.3,1.9,105.3,21,137,3.45,7.7,7.44,8.13,7.85,11.3,6366,25,1090,5.84,4652,24,1015,4.58
52,2011,NOR,13,.813,208,7474,5895,472,16,13,3,0,.813,547,339,208,472,662,190,71.3,5347,46,14,6.9,2.1,110.5,24,158,3.50,8.1,7.79,8.52,8.22,11.3,7474,19,1117,6.69,5895,16,1010,5.84
53,2011,NWE,13,.813,171,6848,6577,402,16,13,3,0,.813,513,342,171,402,612,210,65.7,5084,39,12,6.4,2.0,105.7,32,173,4.97,8.3,7.89,8.70,8.27,12.6,6848,17,1082,6.33,6577,34,1064,6.18
54,2011,SFO,13,.813,151,4974,4931,277,16,13,3,0,.813,380,229,151,277,451,174,61.4,2930,18,5,4.0,1.1,91.4,44,263,8.89,6.5,5.92,6.80,6.19,10.6,4974,10,993,5.01,4931,38,974,5.06
55,2010,ATL,13,.813,126,5458,5319,361,16,13,3,0,.813,414,288,126,361,577,216,62.6,3567,28,9,4.9,1.6,90.8,23,158,3.83,6.2,5.95,6.45,6.20,9.9,5458,17,1097,4.98,5319,31,957,5.56
56,2009,NOR,13,.813,169,6461,5724,378,16,13,3,0,.813,510,341,169,378,544,166,69.5,4355,34,12,6.3,2.2,106.0,20,135,3.55,8.0,7.72,8.26,7.97,11.5,6461,28,1032,6.26,5724,39,1044,5.48
57,2009,SDG,13,.813,134,5761,5232,338,16,13,3,0,.813,454,320,134,338,519,181,65.1,4338,29,10,5.6,1.9,103.1,26,168,4.77,8.4,7.96,8.61,8.20,12.8,5761,17,972,5.93,5232,25,991,5.28
58,2008,TEN,13,.813,141,5018,4698,265,16,13,3,0,.813,375,234,141,265,453,188,58.5,2819,13,9,2.9,2.0,78.8,12,83,2.58,6.2,6.06,5.90,5.75,10.6,5018,17,973,5.16,4698,31,1022,4.60
59,2007,IND,13,.813,188,5739,4475,355,16,13,3,0,.813,450,262,188,355,551,196,64.4,4033,32,14,5.8,2.5,96.1,23,139,4.01,7.3,7.03,7.34,7.04,11.4,5739,19,1020,5.63,4475,37,980,4.57
60,2007,DAL,13,.813,130,5851,4922,342,16,13,3,0,.813,455,325,130,342,531,189,64.4,4105,36,19,6.8,3.6,97.1,25,185,4.50,7.7,7.38,7.48,7.14,12.0,5851,24,975,6.00,4922,29,1008,4.88
61,2007,GNB,13,.813,144,5931,5013,383,16,13,3,0,.813,435,291,144,383,578,195,66.3,4334,30,15,5.2,2.6,95.9,19,127,3.18,7.5,7.26,7.37,7.13,11.3,5931,24,985,6.02,5013,28,994,5.04
62,2006,CHI,13,.813,172,5199,4706,282,16,13,3,0,.813,427,255,172,282,514,232,54.9,3281,24,22,4.7,4.3,73.5,25,165,4.64,6.4,6.09,5.39,5.14,11.6,5199,36,1042,4.99,4706,44,1023,4.60
63,2006,BAL,13,.813,152,5072,4225,328,16,13,3,0,.813,353,201,152,328,524,196,62.6,3435,21,14,4.0,2.7,84.6,17,100,3.14,6.6,6.35,6.15,5.96,10.5,5072,23,1017,4.99,4225,40,936,4.51
64,2005,DEN,13,.813,137,5766,5006,279,16,13,3,0,.813,395,258,137,279,465,186,60.0,3227,18,7,3.9,1.5,88.9,23,146,4.71,6.9,6.61,7.04,6.70,11.6,5766,16,1030,5.60,5006,36,985,5.08
65,2005,SEA,13,.813,181,5915,5069,307,16,13,3,0,.813,452,271,181,307,474,167,64.8,3458,25,10,5.3,2.1,96.8,27,174,5.39,7.3,6.90,7.40,7.00,11.3,5915,17,1020,5.80,5069,27,1041,4.87
66,2004,PHI,13,.813,126,5618,5115,336,16,13,3,0,.813,386,260,126,336,547,211,61.4,3979,32,11,5.9,2.0,96.4,37,229,6.34,7.3,6.81,7.54,7.06,11.8,5618,22,960,5.85,5115,28,1039,4.92
67,2003,KAN,13,.813,152,5910,5707,339,16,13,3,0,.813,484,332,152,339,536,197,63.2,3981,24,12,4.5,2.2,92.4,21,132,3.77,7.4,7.15,7.32,7.04,11.7,5910,18,1003,5.89,5707,37,1054,5.41
68,2001,CHI,13,.813,135,4694,4978,315,16,13,3,0,.813,338,203,135,315,528,213,59.7,2952,20,16,3.8,3.0,76.0,17,120,3.12,5.6,5.42,4.98,4.83,9.4,4694,24,1020,4.60,4978,37,1023,4.87
69,2001,PIT,13,.813,140,5887,4137,274,16,13,3,0,.813,352,212,140,274,454,180,60.4,3113,16,12,3.5,2.6,83.4,31,182,6.39,6.9,6.42,6.37,5.96,11.4,5887,21,1065,5.53,4137,28,919,4.50
70,2000,TEN,13,.813,155,5350,3813,286,16,13,3,0,.813,346,191,155,286,462,176,61.9,3266,18,16,3.9,3.5,83.2,27,164,5.52,7.1,6.68,6.29,5.94,11.4,5350,30,1036,5.16,3813,30,908,4.20
71,1999,IND,13,.813,90,5726,5221,338,16,13,3,0,.813,423,333,90,338,546,208,61.9,4066,26,17,4.8,3.1,88.5,14,116,2.50,7.4,7.26,7.00,6.82,12.0,5726,28,979,5.85,5221,23,1008,5.18
72,1999,TEN,13,.813,68,5296,5245,304,16,13,3,0,.813,392,324,68,304,527,223,57.7,3485,23,13,4.4,2.5,83.1,25,137,4.53,6.6,6.31,6.38,6.09,11.5,5296,22,1011,5.24,5245,40,994,5.28
73,1999,STL,13,.813,284,6412,4698,343,16,13,3,0,.813,526,242,284,343,530,187,64.7,4353,42,15,7.9,2.8,106.6,33,227,5.86,8.2,7.73,8.52,8.02,12.7,6412,31,994,6.45,4698,36,991,4.74
74,1997,GNB,13,.813,140,5614,4827,309,16,13,3,0,.813,422,282,140,309,523,214,59.1,3705,35,16,6.7,3.1,91.9,26,191,4.74,7.1,6.75,7.05,6.71,12.0,5614,32,1008,5.57,4827,32,1047,4.61
75,1997,KAN,13,.813,143,5064,4880,281,16,13,3,0,.813,375,232,143,281,493,212,57.0,2893,20,10,4.1,2.0,81.1,32,236,6.10,5.9,5.51,5.77,5.42,10.3,5064,20,1054,4.80,4880,34,974,5.01
76,1997,SFO,13,.813,110,5112,4013,278,16,13,3,0,.813,375,265,110,278,432,154,64.4,3143,20,11,4.6,2.5,93.6,44,289,9.24,7.3,6.60,7.06,6.40,11.3,5112,20,999,5.12,4013,41,949,4.23
77,1996,DEN,13,.813,116,5791,4470,327,16,13,3,0,.813,391,275,116,327,536,209,61.0,3429,26,17,4.9,3.2,84.3,31,233,5.47,6.4,6.05,5.94,5.62,10.5,5791,32,1092,5.30,4470,32,951,4.70
78,1996,GNB,13,.813,246,5535,4156,328,16,13,3,0,.813,456,210,246,328,548,220,59.9,3697,39,13,7.1,2.4,95.7,40,241,6.80,6.7,6.29,7.10,6.62,11.3,5535,24,1053,5.26,4156,39,981,4.24
79,1995,KAN,13,.813,117,5242,4549,300,16,13,3,0,.813,358,241,117,300,531,231,56.5,3020,21,10,4.0,1.9,79.4,21,158,3.80,5.7,5.47,5.63,5.42,10.1,5242,21,1059,4.95,4549,33,1047,4.34
80,1994,SFO,13,.813,209,6060,4839,359,16,13,3,0,.813,505,296,209,359,511,152,70.3,4163,37,11,7.2,2.2,111.4,35,199,6.41,8.1,7.62,8.63,8.07,11.6,6060,24,1037,5.84,4839,35,996,4.86
81,1992,DAL,13,.813,166,5606,3931,314,16,13,3,0,.813,409,243,166,314,491,177,64.0,3485,23,15,4.7,3.1,88.8,23,112,4.47,7.1,6.78,6.66,6.36,11.1,5606,24,1014,5.53,3931,31,873,4.50
82,1991,BUF,13,.813,140,6252,5458,332,16,13,3,0,.813,458,318,140,332,516,184,64.3,3871,39,19,7.6,3.7,99.0,35,269,6.35,7.5,7.03,7.36,6.89,11.7,6252,35,1056,5.92,5458,37,1086,5.03
83,1990,BUF,13,.813,165,5276,4607,263,16,13,3,0,.813,428,263,165,263,425,162,61.9,3196,28,11,6.6,2.6,98.2,27,208,5.97,7.5,7.07,7.67,7.21,12.2,5276,21,931,5.67,4607,35,981,4.70
84,1990,NYG,13,.813,124,4805,4206,231,16,13,3,0,.813,335,211,124,231,398,167,58.0,2756,18,5,4.5,1.3,90.6,29,142,6.79,6.9,6.45,7.26,6.77,11.9,4805,14,968,4.96,4206,34,914,4.60
85,2024,BAL,12,.706,157,7224,5511,318,17,12,5,0,.706,518,361,157,318,477,159,66.7,4035,41,4,8.6,0.8,119.4,24,154,4.79,8.5,8.05,9.80,9.33,12.7,7224,11,1055,6.85,5511,17,1062,5.19
86,2024,WAS,12,.706,94,6284,5558,365,17,12,5,0,.706,485,391,94,365,525,160,69.5,3665,29,9,5.5,1.7,102.5,50,267,8.70,7.0,6.37,7.31,6.68,10.0,6284,16,1101,5.71,5558,17,1029,5.40
87,2023,DAL,12,.706,194,6317,5095,428,17,12,5,0,.706,509,315,194,428,614,186,69.7,4397,36,10,5.9,1.6,104.6,40,263,6.12,7.2,6.72,7.60,7.14,10.3,6317,16,1122,5.63,5095,26,1014,5.02
88,2023,DET,12,.706,66,6712,5714,408,17,12,5,0,.706,461,395,66,408,606,198,67.3,4401,30,12,5.0,2.0,98.1,31,205,4.87,7.3,6.91,7.36,7.00,10.8,6712,23,1137,5.90,5714,23,1037,5.51
89,2023,SFO,12,.706,193,6773,5167,336,17,12,5,0,.706,491,298,193,336,491,155,68.4,4384,33,12,6.7,2.4,110.2,34,193,6.48,8.9,8.35,9.17,8.58,13.0,6773,18,1024,6.61,5167,28,1038,4.98
90,2022,CIN,12,.750,96,5768,5371,418,16,12,4,0,.750,418,322,96,418,610,192,68.5,4240,35,12,5.7,2.0,101.0,44,280,6.73,7.0,6.48,7.21,6.73,10.1,5768,18,1053,5.48,5371,24,996,5.39
91,2022,DAL,12,.706,125,6034,5613,355,17,12,5,0,.706,467,342,125,355,556,201,63.8,3736,28,18,5.0,3.2,87.9,27,175,4.63,6.7,6.41,6.27,5.98,10.5,6034,23,1114,5.42,5613,33,1101,5.10
92,2021,DAL,12,.706,172,6919,5967,444,17,12,5,0,.706,530,358,172,444,647,203,68.6,4800,40,11,6.2,1.7,104.8,33,163,4.85,7.4,7.06,7.89,7.51,10.8,6919,20,1153,6.00,5967,34,1082,5.51
93,2021,KAN,12,.706,116,6746,6272,448,17,12,5,0,.706,480,364,116,448,675,227,66.4,4791,37,13,5.5,1.9,98.1,28,146,3.98,7.1,6.82,7.33,7.04,10.7,6746,25,1134,5.95,6272,29,1060,5.92
94,2021,TEN,12,.706,65,5822,5607,359,17,12,5,0,.706,419,354,65,359,535,176,67.1,3418,22,14,4.1,2.6,90.0,47,327,8.08,6.4,5.87,6.03,5.55,9.5,5822,25,1133,5.14,5607,22,1039,5.40
95,2021,LAR,12,.706,88,6325,5863,406,17,12,5,0,.706,460,372,88,406,607,201,66.9,4642,41,18,6.8,3.0,101.6,31,251,4.86,7.6,7.28,7.66,7.29,11.4,6325,23,1058,5.98,5863,25,1118,5.24
96,2020,NOR,12,.750,145,6023,4974,370,16,12,4,0,.750,482,337,145,370,522,152,70.9,3758,28,8,5.4,1.5,104.1,29,187,5.26,7.2,6.82,7.58,7.18,10.2,6023,17,1045,5.76,4974,26,992,5.01
97,2020,PIT,12,.750,104,5354,4893,428,16,12,4,0,.750,416,312,104,428,656,228,65.2,4003,35,11,5.3,1.7,93.5,14,126,2.09,6.1,5.97,6.41,6.28,9.4,5354,18,1043,5.13,4893,27,996,4.91
98,2020,SEA,12,.750,88,5912,6089,388,16,12,4,0,.750,459,371,88,388,563,175,68.9,3941,40,13,7.1,2.3,105.0,48,304,7.86,7.0,6.45,7.38,6.80,10.2,5912,18,1022,5.78,6089,22,1112,5.48
99,2019,KAN,12,.750,143,6067,5594,378,16,12,4,0,.750,451,308,143,378,576,198,65.6,4498,30,5,5.2,0.9,104.4,25,192,4.16,7.8,7.48,8.46,8.11,11.9,6067,15,976,6.22,5594,23,1043,5.36
100,2019,NWE,12,.750,195,5664,4414,378,16,12,4,0,.750,420,225,195,378,620,242,61.0,3961,25,9,4.0,1.5,88.2,28,192,4.32,6.4,6.11,6.54,6.26,10.5,5664,15,1095,5.17,4414,36,948,4.66
101,2018,CHI,12,.750,138,5502,4795,344,16,12,4,0,.750,421,283,138,344,512,168,67.2,3564,28,14,5.5,2.7,95.4,33,183,6.06,7.0,6.54,6.82,6.41,10.4,5502,24,1013,5.43,4795,36,1004,4.78
102,2018,KAN,12,.750,144,6810,6488,385,16,12,4,0,.750,565,421,144,385,583,198,66.0,4955,50,12,8.6,2.1,113.8,26,171,4.27,8.5,8.14,9.29,8.89,12.9,6810,18,996,6.84,6488,27,1109,5.85
